"requirement_or_finding","file","test_or_evidence","status"
"ID-GAP-001 video contrast","src/components/landing/Hero.jsx","Browser contrast measurements across representative video frames","NEEDS_BROWSER"
"ID-GAP-002 video fallback","src/components/landing/Hero.jsx; public/images/hero-poster.svg","Poster SVG, solid background fallback, browser load/error/mobile/reduced-motion scenarios","NEEDS_BROWSER"
"ID-GAP-003 lint accessibility warnings","src/components/ui/Modal.jsx; src/pages/Analysis.jsx; src/pages/Dashboard.jsx; src/pages/Forecast.jsx; src/pages/Settings.jsx","npm run lint: 0 errors, 14 warnings","NEEDS_REVIEW"
"ID-GAP-004 design tokens and states","src/styles/global.css; tailwind.config.js","UI review, state matrix and responsive evidence","NEEDS_REVIEW"
"ID-GAP-005 charts bundle size","dist/assets/charts-CQOSepTB.js","npm run build: 383.32 kB, browser performance measurement pending","NEEDS_BROWSER"
"ID-GAP-006 passive security","package.json; package-lock.json; index.html; vercel.json","npm ci 2026-08-11: 412 packages audited, 0 vulnerabilities reported; SAST/DAST/secret scan and SBOM still pending","NEEDS_INFO"
"ID-GAP-007 product claims","src/components/landing/Hero.jsx; index.html","Product review of AI, accuracy and financial capability claims","NEEDS_INFO"
"H-1 mobile menu Escape","src/components/landing/LandingNav.jsx","Chromium harness 2026-08-11 15:54: afterEscape menuVisible=false, expanded=false; cleanup and focus restoration implemented","PASS_BROWSER_LOCAL"
"H-3 hero LCP strategy","src/components/landing/Hero.jsx; public/images/hero-poster.svg","Poster plus mobile preload=none, desktop autoplay preserved; browser/LCP rerun required","NEEDS_BROWSER"
"Landing build","package.json; src/pages/Landing.jsx","npm run build 2026-08-11: 2320 modules, exit 0","PASS_LOCAL"
"Financial unit suite","src/services/**/*.test.js","npm test -- --run 2026-08-11: 7 files, 68 tests passed","PASS_LOCAL"
"Responsive 375/768/1024/1440","docs/qa/test-plan.md","Browser screenshots and overflow checks","NEEDS_BROWSER"
"Keyboard and focus","docs/qa/test-plan.md; src/styles/global.css","Keyboard walkthrough and focus evidence","NEEDS_BROWSER"
"Reduced motion","src/styles/global.css; src/components/animations/","Browser prefers-reduced-motion run","NEEDS_BROWSER"
"Routes and anchors","src/App.jsx; src/components/landing/","Playwright smoke for routes and anchors","NEEDS_BROWSER"
"Rollback","docs/runbooks/rollback.md; docs/adr/0001-deployment-strategy.md","Canonical Vercel promote procedure and blue/green decision documented; rehearsal and post-rollback smoke test not executed","NEEDS_REVIEW"
"Production deployment config","vercel.json","JSON parse passed; explicit Vite build/output/install, SPA rewrite exclusions, security headers, report-only CSP, and cache rules reviewed locally","PASS_LOCAL"
"Client secret exposure",".env.example","VITE_ANTHROPIC_KEY and VITE_OPENROUTER_KEY absent; backend/edge secret-manager guidance documented","PASS_LOCAL"
"SEO route consistency","src/App.jsx; public/sitemap.xml; public/robots.txt","Five App.jsx routes only; /app and /blog references absent; production domain placeholder documented","NEEDS_INFO"
"Final release sign-off","docs/release/v3-dark-luxe-final-review.md","Quality Reviewer, security and product signatures","NEEDS_REVIEW"
